id;coords
1;[[26825.53,117612.7],]
0;[[26664.03,119122.8],]
3;[[28226.45,114545.8],]
4;[[28351.7,114679.9],]
5;[[28353.56,116221.6],]
9;[[28671.4,115861.8],]
11;[[28781.04,115009.9],]
12;[[28870.89,116008.1],]
13;[[29073.2,118350.8],]
16;[[29222.89,115990.9],]
19;[[29617.53,118476.1],]
20;[[29683.73,117165.9],]
2;[[28183.33,120749.4],]
6;[[28434.01,120360.7],]
7;[[28444.77,120368.5],]
8;[[28534.19,118739],]
10;[[28727.62,119852.9],]
14;[[29128.89,119667.4],]
17;[[29219.42,119202.4],]
21;[[29719.9,119605.2],]
22;[[29807.7,119385.7],]
23;[[29809.62,119092.3],]
24;[[29885.52,119817.4],]
25;[[30138.4,120364.6],]
26;[[30185.65,119514],]
27;[[30325.93,120880.7],]
15;[[29123.82,123505.1],]
18;[[29345.21,123248.2],]
28;[[30486.62,122570.2],]
